x, y, z
0.246677, -0.101087, -0.024461
0.246787, -0.100279, -0.023926
0.246897, -0.099471, -0.023390
0.247007, -0.098663, -0.022856
0.247117, -0.097854, -0.022324
0.247337, -0.096233, -0.021265
0.247558, -0.094610, -0.020215
0.247779, -0.092982, -0.019175
0.248001, -0.091352, -0.018145
0.248223, -0.089718, -0.017123
0.248445, -0.088081, -0.016110
0.248668, -0.086440, -0.015107
0.248892, -0.084796, -0.014115
0.249116, -0.083147, -0.013132
0.249340, -0.081495, -0.012160
0.249566, -0.079840, -0.011198
0.249791, -0.078180, -0.010247
0.250017, -0.076517, -0.009306
0.250244, -0.074852, -0.008368
0.250470, -0.073183, -0.007442
0.250698, -0.071510, -0.006528
0.250926, -0.069832, -0.005628
0.251155, -0.068148, -0.004743
0.251385, -0.066459, -0.003874
0.251615, -0.064763, -0.003020
0.251846, -0.063062, -0.002183
0.252078, -0.061355, -0.001361
0.252311, -0.059642, -0.000556
0.252545, -0.057923, 0.000233
0.252779, -0.056198, 0.001005
0.253015, -0.054466, 0.001757
0.253251, -0.052727, 0.002490
0.253489, -0.050980, 0.003201
0.253727, -0.049224, 0.003889
0.253967, -0.047460, 0.004556
0.254208, -0.045690, 0.005202
0.254450, -0.043912, 0.005831
0.254692, -0.042129, 0.006443
0.254935, -0.040340, 0.007039
0.255179, -0.038543, 0.007614
0.255425, -0.036735, 0.008160
0.255673, -0.034913, 0.008666
0.255923, -0.033074, 0.009125
0.256176, -0.031214, 0.009528
0.256431, -0.029333, 0.009873
0.256690, -0.027431, 0.010162
0.256951, -0.025507, 0.010389
0.257217, -0.023557, 0.010545
0.257486, -0.021577, 0.010616
0.257760, -0.019560, 0.010589
0.257900, -0.018530, 0.010518
0.258043, -0.017479, 0.010388
0.258190, -0.016397, 0.010172
0.258344, -0.015265, 0.009819
0.258473, -0.014313, 0.009411
0.258540, -0.013826, 0.009175
0.258609, -0.013316, 0.008877
0.258647, -0.013037, 0.008665
0.258668, -0.012881, 0.008513
0.258680, -0.012792, 0.008405
0.258696, -0.012672, 0.008213
0.258711, -0.012564, 0.007780
0.258711, -0.012567, 0.007651
0.258707, -0.012594, 0.007451
0.258695, -0.012683, 0.007144
0.258664, -0.012913, 0.006677
0.258627, -0.013179, 0.006306
0.258546, -0.013779, 0.005749
0.258436, -0.014586, 0.005212
0.258324, -0.015407, 0.004713
0.258211, -0.016241, 0.004248
0.258096, -0.017090, 0.003823
0.257861, -0.018813, 0.003047
0.257625, -0.020550, 0.002308
0.257388, -0.022298, 0.001599
0.257149, -0.024056, 0.000917
0.256909, -0.025823, 0.000259
0.256667, -0.027596, -0.000380
0.256426, -0.029376, -0.001002
0.256183, -0.031160, -0.001613
0.255940, -0.032947, -0.002214
0.255697, -0.034737, -0.002809
0.255453, -0.036528, -0.003399
0.255210, -0.038320, -0.003988
0.254966, -0.040112, -0.004578
0.254723, -0.041903, -0.005170
0.254479, -0.043694, -0.005761
0.254236, -0.045484, -0.006354
0.253992, -0.047275, -0.006946
0.253749, -0.049066, -0.007538
0.253506, -0.050857, -0.008130
0.253262, -0.052647, -0.008721
0.253019, -0.054438, -0.009313
0.252775, -0.056229, -0.009904
0.252532, -0.058020, -0.010495
0.252288, -0.059811, -0.011087
0.252045, -0.061602, -0.011678
0.251801, -0.063393, -0.012270
0.251558, -0.065184, -0.012862
0.251314, -0.066975, -0.013453
0.251071, -0.068766, -0.014045
0.250827, -0.070557, -0.014636
0.250584, -0.072348, -0.015228
0.250341, -0.074139, -0.015820
0.250097, -0.075929, -0.016411
0.249854, -0.077720, -0.017003
0.249610, -0.079511, -0.017594
0.249367, -0.081302, -0.018186
0.249123, -0.083093, -0.018777
0.248882, -0.084866, -0.019419
0.248639, -0.086654, -0.020019
0.248396, -0.088442, -0.020619
0.248153, -0.090229, -0.021219
0.247910, -0.092017, -0.021818
0.247667, -0.093805, -0.022418
0.247424, -0.095593, -0.023018
0.247181, -0.097381, -0.023618
0.247059, -0.098275, -0.023918
0.246938, -0.099169, -0.024218
0.246816, -0.100063, -0.024518
0.246695, -0.100957, -0.024818
