,r,p,y
1955-01-01,1.35,-0.519866320089122,2.11233683650112
1955-04-01,1.64,-0.85374907201188,3.1059483135487
1955-07-01,2.18,0.149198060425225,3.83941298237747
1955-10-01,2.48,0.373552484124025,3.78375956421132
1956-01-01,2.5,0.37327360955581,2.70212869365814
1956-04-01,2.71,1.64732309996255,2.88187688395486
1956-07-01,2.95,1.86219739292365,2.0977709212582
1956-10-01,2.94,2.82843319687383,3.04682807495794
1957-01-01,2.96,3.60728895500185,2.91953844949124
1957-04-01,3,3.53591160220995,1.87038521939394
1957-07-01,3.47,3.54661791590493,2.01233545187303
1957-10-01,2.98,3.04017372421281,0.0837701659772756
1958-01-01,1.2,3.62526920315866,-3.3579288169422
1958-04-01,0.93,2.84596229099965,-3.59013433260626
1958-07-01,1.76,2.08333333333333,-2.24495577296966
1958-10-01,2.42,1.75623463294696,-0.893510416752462
1959-01-01,2.8,0.346380325597499,0.0602623520851725
1959-04-01,3.39,0.691802144586646,1.33327897369632
1959-07-01,3.76,1.1760636457973,0.385715200268454
1959-10-01,3.99,1.51881256472213,-0.336310151971574
1960-01-01,3.84,1.51881256472213,0.867313489735324
1960-04-01,3.32,1.71762281003092,-0.677819145812045
1960-07-01,2.6,1.23076923076923,-1.18344107475337
1960-10-01,1.98,1.36008160489629,-3.40288889671128
1961-01-01,2.02,1.46208772526351,-3.70270302331357
1961-04-01,1.73,0.776764606551842,-2.99432639175367
1961-07-01,1.88,1.24957784532253,-2.0986149231641
1961-10-01,2.33,0.670915800067101,-1.15397628509949
1962-01-01,2.85,1.1058981233244,-0.395369103712288
1962-04-01,2.68,1.23994638069705,-0.514208186102481
1962-07-01,2.9,1.46764509673116,-0.328201125564153
1962-10-01,2.93,1.23292235921359,-1.03770458828263
1963-01-01,2.98,1.12694729864103,-0.998427625089183
1963-04-01,2.99,1.32406487917908,-0.940761254465188
1963-07-01,3.48,0.986193293885592,0.163507508208573
1963-10-01,3.38,1.64581961816985,-0.258794137797397
1964-01-01,3.43,1.40937397574566,0.763713697395187
1964-04-01,3.5,1.30676249591637,0.766304918909705
1964-07-01,3.45,1.171875,1.2417668571179
1964-10-01,3.85,1.19818652849741,0.470549411300363
1965-01-01,4.05,1.19586296056883,1.78316878901643
1965-04-01,4.05,1.9348597226701,1.97731873433792
1965-07-01,4.02,1.73745173745175,3.11004901993496
1965-10-01,4.32,1.92,4.33647380749922
1966-01-01,4.66,2.77866496327052,5.7046988490738
1966-04-01,5.17,2.43593799430561,4.90011261564657
1966-07-01,5.4,3.57368753953194,4.62049734838815
1966-10-01,5.4,3.35949764521193,4.33062838887537
1967-01-01,4.53,2.54816656308266,4.10293808182514
1967-04-01,3.98,2.8412600370599,3.03150943962565
1967-07-01,3.99,2.59541984732825,2.87746583872745
1967-10-01,4.51,3.28068043742405,2.5133350710282
1968-01-01,5.05,3.93939393939393,3.45283502672585
1968-04-01,6.07,4.20420420420422,4.03327672730255
1968-07-01,5.78,4.46428571428571,3.68113672218196
1968-10-01,6.02,4.70588235294118,2.93299599231911
1969-01-01,6.79,5.24781341107873,3.42832411537126
1969-04-01,8.9,5.47550432276657,2.68925808151413
1969-07-01,9.15,5.6980056980057,2.37540048272579
1969-10-01,8.97,5.89887640449439,0.945288879732547
1970-01-01,7.76,6.09418282548475,-0.0830248409505211
1970-04-01,7.61,6.01092896174862,-0.770000528348171
1970-07-01,6.29,5.66037735849057,-0.65127859519779
1970-10-01,4.9,5.57029177718831,-2.47296619434722
1971-01-01,3.71,4.43864229765014,-0.590633264831132
1971-04-01,4.91,4.38144329896908,-0.826617382623525
1971-07-01,5.55,4.08163265306121,-0.789417188594127
1971-10-01,4.14,3.26633165829147,-1.33697517967296
1972-01-01,3.83,3.5,-0.320628761132946
1972-04-01,4.46,2.96296296296297,1.12806105299218
1972-07-01,4.87,3.18627450980393,1.2616950384285
1972-10-01,5.33,3.40632603406326,2.1228808158
1973-01-01,7.09,4.83091787439614,3.78967411473102
1973-04-01,8.49,5.99520383693046,4.02333766961136
1973-07-01,10.78,7.36342042755345,2.59050215485726
1973-10-01,9.95,8.94117647058823,2.66648511874287
1974-01-01,9.35,10.1382488479263,0.897353694084734
1974-04-01,11.93,10.8597285067873,0.258469692309567
1974-07-01,11.34,11.9469026548673,-1.53347917704767
1974-10-01,8.53,12.0950323974082,-2.73109701680234
1975-01-01,5.54,10.4602510460251,-4.6864048685335
1975-04-01,5.55,9.18367346938776,-4.75391952872478
1975-07-01,6.24,7.90513833992095,-3.86660928561085
1975-10-01,5.2,7.12909441233141,-3.31469362885214
1976-01-01,4.84,6.06060606060607,-1.8871145011353
1976-04-01,5.48,5.98130841121496,-1.92035184284495
1976-07-01,5.25,5.49450549450549,-2.15097869430899
1976-10-01,4.65,5.03597122302158,-2.2164253433093
1977-01-01,4.69,6.42857142857143,-1.85720038186629
1977-04-01,5.39,6.70194003527336,-0.766895965378733
1977-07-01,6.14,6.4236111111111,0.19257917412786
1977-10-01,6.56,6.67808219178082,-0.645099692677573
1978-01-01,6.79,6.37583892617449,-1.17686749546427
1978-04-01,7.6,7.43801652892562,1.75775403480057
1978-07-01,8.45,8.48287112561175,1.87896318138741
1978-10-01,10.03,8.98876404494383,2.33528313054414
1979-01-01,10.09,10.2523659305994,1.59529113138608
1979-04-01,10.29,11.0769230769231,0.826028960203746
1979-07-01,11.43,11.8796992481203,0.748107642679743
1979-10-01,13.78,13.2547864506627,0.234935073156005
1980-01-01,17.19,14.5922746781116,-0.145938035791746
1980-04-01,9.47,14.2659279778393,-2.80952431003137
1980-07-01,10.87,12.7688172043011,-3.45696931756158
1980-10-01,18.9,12.3537061118336,-2.22109026169874
1981-01-01,14.7,10.6117353308365,-0.932809655723223
1981-04-01,19.1,9.6969696969697,-2.32486925103987
1981-07-01,15.87,10.9654350417163,-1.84828891901179
1981-10-01,12.37,8.91203703703702,-3.62783041079078
1982-01-01,14.68,6.88487584650114,-5.83891869134385
1982-04-01,14.15,7.18232044198895,-6.13292297873221
1982-07-01,10.31,4.94092373791623,-7.21448853038469
1982-10-01,8.95,3.82571732199788,-7.90316137202428
1983-01-01,8.77,3.59028511087644,-7.41214362679855
1983-04-01,8.98,2.47422680412372,-6.05014508061798
1983-07-01,9.45,2.76356192425794,-4.9414080984181
1983-10-01,9.47,3.7871033776868,-3.7621424029372
1984-01-01,9.91,4.89296636085628,-2.71812680501935
1984-04-01,11.06,4.32595573440644,-1.90511880215956
1984-07-01,11.3,4.28286852589641,-1.84117425561381
1984-10-01,8.38,4.04339250493096,-1.92397209339267
1985-01-01,8.58,3.79008746355684,-1.85901084162019
1985-04-01,7.53,3.66441658630665,-1.87767262952552
1985-07-01,7.92,3.24737344794651,-1.25972669546513
1985-10-01,8.27,3.7914691943128,-1.39157493451705
1986-01-01,7.48,2.15355805243445,-1.32358789981435
1986-04-01,6.92,1.76744186046512,-1.71648508697783
1986-07-01,5.89,1.75763182238668,-1.60533767953446
1986-10-01,6.91,1.18721461187214,-1.89400231416704
1987-01-01,6.13,2.84142988084327,-1.966948227567
1987-04-01,6.73,3.74771480804387,-1.70202671882535
1987-07-01,7.22,4.27272727272728,-1.63097345358524
1987-10-01,6.77,4.33212996389891,-0.724025407366893
1988-01-01,6.58,3.83244206773618,-0.977818986895951
1988-04-01,7.51,3.9647577092511,-0.442234901917581
1988-07-01,8.19,4.1848299912816,-0.613155853941669
1988-10-01,8.76,4.41176470588236,-0.0421367954053359
1989-01-01,9.85,4.89270386266095,0.228870351201222
1989-04-01,9.53,5.16949152542372,0.255451344833993
1989-07-01,9.02,4.43514644351464,0.267976621812526
1989-10-01,8.45,4.63960231980116,-0.25408705085711
1990-01-01,8.28,5.23731587561374,0.127192690773833
1990-04-01,8.29,4.67365028203063,-0.204958576835617
1990-07-01,8.2,6.1698717948718,-0.811015020009073
1990-10-01,7.31,6.25494853523357,-2.35723182057237
1991-01-01,6.12,4.82115085536549,-3.43633741462484
1991-04-01,5.9,4.69591993841416,-3.29145134808179
1991-07-01,5.45,3.39622641509434,-3.40093627088758
1991-10-01,4.43,2.9806259314456,-3.65918650212054
1992-01-01,3.98,3.18991097922847,-3.10323903136682
1992-04-01,3.76,3.01470588235294,-2.65805760096491
1992-07-01,3.22,2.992700729927,-2.314744246218
1992-10-01,2.92,2.96671490593345,-1.92145864432479
1993-01-01,3.07,3.01941049604602,-2.38666729059042
